"location","text"
"fr._1","λέγω@v3saia--- τις@p-s---mn- ἐκ@r-------- αὐτός@p-p---mg- ἴδιος@a-s---mn- αὐτός@p-p---mg- προφήτης@n-s---mn- κρής@n-p---fn- ἀεί@d-------- ψεύστης@n-p---mn- κακός@a-p---nn- θηρίον@n-p---nn- γαστήρ@n-p---fn- ἀργός@a-p---fn- ὁ@l-s---ma- δέ@d-------- ἕβδομος@a-s---ma- ὁ@l-p---mn- μέν@d-------- περίανδρος@n-s---ma- εἰμί@v--pna--- λέγω3@v3ppia--- ὁ@l-s---ma- κορίνθιος@a-s---ma- ὁ@l-p---mn- δέ@d-------- ἀνάχαρσις@n-s---ma- ὁ@l-s---ma- σκύθης@n-s---ma- ὁ@l-p---mn- δέ@c-------- ἐπιμενίδης@n-s---ma- ὁ@l-s---ma- κρής@n-s---ma- ὅς@p-s---ma- ἑλληνικός@a-s---ma- οἶδα@v3sria--- προφήτης@n-s---ma- ὅς@p-s---mg- μιμνήσκω@v3srie--- ὁ@l-s---mn- ἀπόστολος@n-s---mn- παῦλος@n-s---mn- ἐν@r-------- ὁ@l-s---fd- πρός@r-------- τίτος@n-s---ma- ἐπιστολή@n-s---fd- mig@d-------- μή@d-------- δικαιόω@v3spie--- δέ@d-------- οὗτος@l-s---fn- διαsiculus@n-s---fn- εἰς@r-------- epimenείος@n-s---fg- cretensis@n-s---fg- poetae@n-s---mv- oraculis@n-s---fd- repηγόρημαι@n-s---fd- μύσις@i-------- ὅς@d-------- αὐτός@p-s---fn- liber@a-s---mv- oraculorum@n-p---mg- titulus@n-s---fn- αἰνιγματωδῶς@n-s---fn- ἔνθα@p-s---nn- καί@p1s---md- περαιόω@v3spia--- cuius@p-s---fd- herox@a-s---nd- hemistichium@n-s---na- postea@d-------- callimachus@n-s---fn- usurpavit@v3spia--- κρής@n-p---mn- ἀεί@d-------- ψεύστης@v3sfim--- καί@d-------- γάρ@g-------- τάφος@n-s---ma- ὦ@i-------- ἀνά@n-s---mv- σύ@p-s----g- κρής@n-p---fn- τεκταίνομαι@v3paim--- σύ@p-s----n- δέ@g-------- οὐ@d-------- θνήσκω@v2siia--- εἰμί@v2spia--- γάρ@d-------- ἀεί@d-------- ἔρχομαι@v3saia--- ἀθήναζε@d-------- καί@c-------- ἄλλος@a-s---mn- κρής@a-s---mn- ἀνήρ@n-s---mn- ὄνομα@n-s---na- ἐ@n-s---mn- οὐ@d-------- δέ@c-------- οὗτος@p-s---mn- ἔχω@v3saia--- εἶπον@v--ana--- ἑαυτοῦ@p-s---md- διδάσκαλος@n-s---ma- ἀλλά@d-------- εἰμί@v3siia--- μέν@d-------- δεινός@a-s---mn- ὁ@l-p---na- θεῖος@a-p---na- ὥστε@c-------- ὁ@l-s---fa- ἀθήναιος@n-p---mg- πόλις@n-s---fa- κακόω@v-sppefa- λοιμός@n-s---md- καί@c-------- στάσις@n-s---nd- διασῴζω@v3saim--- ἐκθύω@v-sapmmn- δεινός@a-s---mn- δέ@d-------- εἰμί@v3siia--- οὗτος@p-p---na- οὐ@d-------- μανθάνω@v-sapamn- ἀλλά@c-------- ὕπνος@n-s---ma- ἑαυτοῦ@p-s---md- διηγέομαι@v3siie--- μακρός@a-s---ma- καί@c-------- ὄνειρος@n-s---ma- διδάσκαλος@a-s---ma- ἀφικνέομαι@v3saim--- ποτέ@g-------- ἀθήναζε@d-------- ἀνήρ@n-s---mn- κρής@n-s---mn- ὄνομα@n-s---na- κομίζω@v-sppamn- λόγος@n-s---ma- οὑτωσί@d-------- ἐρῶ@v-sappma- πιστεύω@v--pne--- χαλεπός@a-s---ma- 〈@i-------- μέσος@a-p---fa- γάρ@d-------- 〉@m-------- ἡμέρα@n-p---fa- ἐν@r-------- δικτίος@n-s---mg- ζεύς@n-s---mg- ὁ@l-s---nd- ἄντανδρος@n-s---nd- κεῖμαι@v-sppemn- ὕπνος@n-s---nd- βαθύς@a-s---nd- ἔτος@n-p---na- συχνός@a-p---na- ὄναρ@n-s---na- φημί@v3siia--- ἐντυγχάνω@v--ana--- αὐτός@p-s---mn- θεός@n-p---md- καί@c-------- θεός@n-p---mg- λόγος@n-p---md- καί@c-------- ἀλήθεια@n-s---fd- καί@c-------- δίκη@n-s---fd-"
"fr._2","5@m-------- kern@n-s---mv- ὁ@i-------- orph@n-s---mv- οὗτος@d-------- theog@p-s---fa- p@x-------- 64@d-------- καί@d-------- μέντοι@d-------- καί@d-------- ὁ@l-s---ma- νεμεαῖος@a-s---ma- λέων@n-s---ma- ὁ@l-s---fg- σελήνη@n-s---fg- ἐκπίπτω@v--ana--- φημί@v3ppia--- λέγω3@v3spia--- γοῦν@d-------- καί@d-------- ὁ@l-p---na- ἐπιμενίδης@n-s---mg- ἔπος@n-p---na- καί@d-------- γάρ@g-------- ἐγώ@p-s---fn- γένος@n-s---na- εἰμί@v1spia--- σελήνη@n-s---fg- εὔκομος@a-s---fg- ὅς@p-s---fn- δεινός@a-s---na- φρίσσω@v-sapafn- ’@v-papafn- ἀποσείω@v3saim--- θήρ@n-s---ma- λέων@n-s---ma- ἐν@r-------- νεμέα@n-s---fd- δέ@g-------- ἄγχω@v3ppia--- ’@v-pppafn- αὐτός@a-s---ma- διά@r-------- πότνια@n-s---fa- ἥρα@n-s---fa- τίθημι@n-s---fn- ἴς@r-------- δαμάζω@v3saia--- βία@n-s---fg- ἡράκλειος@a-s---fg- πῶς@d-------- οὐ@d-------- ἠλίθιος@n-s---na- πείθω@v--ane--- ὁ@l-p---nd- ἡρόδωρος@n-s---mg- βιβλίον@n-p---nd- περί@r-------- ὁ@l-s---mg- κατά@r-------- ἡρακλῆς@n-s---ma- λόγος@n-s---mg- γῆ@n-s---fa- ἄνω@d-------- κηρύσσω@v3ppia--- n@x-------- ὁ@l-s---fa- σελήνη@n-s---fa- κατέρχομαι@v--rna--- τε@d-------- ἀπό@r-------- αὐτός@p-s---fg- λέων@n-s---ma- ὁ@l-s---ma- ὑπό@r-------- ἡρακλῆς@n-s---mg- φονεύω@v-sappma-"
"fr._3","3@x-------- ὁ@l-s---fn- μέν@d-------- οὖν@d-------- εἰς@r-------- πᾶς@a-s---fa- ἡμέρα@n-s---fa- συνίστημι@v-srpafn- κοινωνία@n-s---fn- κατά@r-------- φύσις@n-s---fa- οἶκος@n-s---mn- εἰμί@v3spia--- ὅς@p-p---ma- ὁ@l-s---mn- μέν@d-------- χαρώνδας@n-s---mn- καλέω@v3spia--- ὁμοσιμούσιος@a-p---ma- δέ@c-------- ὁ@l-s---mn- κρής@n-s---mn- ὁμόκνους@n-p---ma-"
"fr._4","ὁ@l-s---nn- δέ@d-------- δημηγορέω@v--pna--- χαλεπός@a-s---nnc ὁ@l-s---ng- δικάζω@v--pne--- εἰκότως@d-------- διότι@c-------- περί@r-------- ὁ@l-s---na- μέλλω@v-sppana- ἐκεῖνος@p-s---nn- δέ@d-------- περί@r-------- ὁ@l-s---na- γίγνομαι@v-srpana- ὅς@p-s---nn- ἐπιστητός@a-s---nn- ἤδη@d-------- καί@d-------- ὁ@l-p---md- μάντις@a-p---md- ὡς@c-------- φημί@v3siia--- ἒ@n-s---mn- ὁ@l-s---mn- κρής@n-s---mn- ἐκεῖνος@p-s---mn- γάρ@d-------- περί@r-------- ὁ@l-p---ng- εἰμί@v-pfpmng- οὐ@d-------- μαντεύομαι@v3siie--- ἀλλά@c-------- περί@r-------- ὁ@l-p---ng- γίγνομαι@v-prpang- ἄδηλος@a-p---ng- δέ@d--------"
"fr._5","1@v--pna--- k@n-------- ὁ@l-s---ma- δέ@d-------- ἐπιμενίδης@n-s---ma- δύο@a-------- πρῶτος@a-p---fa- ἀρχή@n-p---fa- ὑποτίθημι@v--ane--- ἀήρ@n-s---ma- καί@c-------- νύξ@n-s---fa- ἐκ@r-------- ὅς@p-p---ng- γεννάω@v--anp--- τάρταρος@n-s---ma- οἴομαι@v1spie--- ὁ@l-s---fa- τρίτος@a-s---fa- ἀρχή@n-s---fa- ὡς@d-------- τις@a-s---fa- μικτός@n-s---fa- ἐκ@r-------- ὁ@l-p---ng- δύο@a-d---ng- συγκεράννυμι@v-sappfa- ἐκ@r-------- ὅς@p-p---ng- δύο@a-------- τιτάν@n-p---ma- ὁ@l-s---fa- νοητός@a-s---fa- μεσότης@n-s---fa- οὕτως@d-------- καλέω@v-sapama- διότι@c-------- ἐπί@r-------- ἄμφω@p-d---mn- διατείνω@v3spia--- ὁ@l-s---nn- τε@d-------- ἄκρον@n-s---nn- καί@c-------- ὁ@l-s---nn- πέρας@n-s---nn- ὅς@p-p---mg- μίγνυμι@v-pappmg- ἀλλήλων@p-p---md- ᾠόν@n-s---ma- γίγνομαι@v--anm--- ἐκ@r-------- ὅς@p-s---ng- πάλιν@d-------- ἄλλος@a-s---fa- γενεά@n-s---fa- προέρχομαι@v--ana--- ἐν@r-------- δέ@d-------- ὁ@l-p---nd- εἰς@r-------- ἐπιμενίδης@n-s---ma- näml@x-------- ἀναφέρω@v-pppend- ἔπος@n-p---nd- ἐκ@r-------- ’@d-------- ἀήρ@n-s---mg- καί@c-------- νύξ@n-s---fg- ὁ@l-p---na- πᾶς@a-p---na- συνίστημι@v--ana--- ὥσπερ@c-------- καί@d-------- ὅμηρος@n-s---mn- ἀποφαίνω@v3spie--- νετ@v3spie--- ’@n-s---ma- ὠκεανός@n-s---ma- ἐκ@r-------- τηθύς@n-s---fg- ὁ@l-p---ma- θεός@n-p---ma- γεννάω@v--pna--- λέγω3@v-sppamn- ὠκεανός@n-s---ma- τε@g-------- θεός@n-p---mg- γένεσις@n-s---fa- καί@c-------- μήτηρ@n-s---fa- τηθύς@n-s---fa- ’@n-s---ma- ἕτερος@a-s---mn- τις@p-s---mn- δέ@d-------- κρόνος@n-s---ma- τε@d-------- καί@c-------- ῥέα@n-s---ma- ὁ@p-p---mn- δέ@c-------- ζεύς@n-s---ma- καί@c-------- ἥρα@n-s---ma- πατήρ@n-s---ma- καί@c-------- μήτηρ@n-s---fa- θεός@n-p---mg- νομίζω@v3ppia---"
"fr._6","3@n-------- k@n-------- δέ@d-------- ὁ@l-s---mn- κρής@n-s---mn- εἰμί@v--pna--- μέν@d-------- καί@d-------- οὗτος@a-s---mn- θυγάτηρ@n-s---fa- ὠκεανός@n-s---mg- ὁ@l-s---fa- στύγος@n-s---fa- ποιέω@v3saia--- συνοικέω@v--pna--- δέ@c-------- αὐτός@p-s---fa- οὐ@d-------- πάλλας@n-s---md- ἀλλά@c-------- ἐκ@r-------- πείρας@n-s---mg- ἔχιδνα@n-s---ma- τίκτω@v--ana--- ὅστις@p-s---mn- δή@d-------- ὁ@l-s---mn- πεῖρα@n-s---mn- εἰμί@v3spia---"
"fr._7","7b@v2spma--- k@n-------- philod@i-------- ὁ@i-------- piάω@v2ppma--- 46b@x-------- 7@x-------- p@n-------- 18@x-------- g.@x-------- ὁ@l-p---fa- ἁρπ@a-p---fa- υῖα@n-p---fa- ἅλς@v3saoa--- 〉@x-------- εἰμί@v-pppafa- ὑπό@r-------- ό@r-------- ὁ@l-p---mg- βορέας@n-s---mg- παί@n-p---mg- 〉@x-------- δων@n-p---mg- ἐπί@n-------- μενίδης@n-s---fa- ς@r-------- γάρ@d-------- ὠκύς@v3siia--- ανόν@n-s---mg- καί@c-------- γ@n-s---fg- ή@n-s---fg- γέννημα@n-s---na- ὁ@p2s---ca- ’@c-------- εἰμί@v--pna--- π@m-------- ερί@d-------- δέ@d-------- ῥή@n-s---fn- για@a-s---fa- αὐ@i-------- ὁ@l-p---fa- φονεύς@v2ppia--- ναί@d-------- ?@x-------- φ@v3siia--- εἰμί@v3spia---"
"fr._8","8@x-------- 4@x-------- k@n-------- ἐπιτίθημι@v--anm--- τυφῶν@n-s---fa- εἰρήνη@a-s---fn- καί@d-------- σύ@p-p---cd- ὁ@l-s---fd- βασίλεια@n-s---fd- ζεύς@n-s---mg- ὡς@c-------- αἰσχύλος@n-s---mn- ἐν@r-------- πρό@n-s---mg- μηθεύς@n-s---md- καί@c-------- ἀ@n-------- κουσίλα@n-------- 〈@x-------- ος@n-s---fg- καί@c-------- ἐπί@n-------- μενίδ@n-s---fg- 〈@n-p---fa- ης@n-s---fg- καί@c-------- ἄλλος@p-p---mn- πολύς@a-p---mn- παρά@r-------- ’@r-------- ἐπί@n-s---md- μενίδης@n-s---md- δ@d-------- ’@c-------- ἀναβαίνω@v-sapamn- τυφών@n-s---fa- καθεύδω@v-sppana- 〉@x-------- τος@v-sppamg- ζεύς@n-s---mg- ἐπί@r-------- ὁ@l-s---na- βα@n-s---na- 〉@x-------- σίλειος@n-s---na- ἐ@v3siia--- πικρός@a-p---na- ὁ@a-p---fa- ας@v--pna--c δέ@d-------- ὁ@l-p---fg- πύλη@n-p---fg- καθίημι@v--anm--- κίω@v--anm--- μέν@d-------- ἔσω@d-------- παρά@r-------- βοηθέω@v-sapamn- δέ@d-------- ὁ@l-s---mn- ζεύς@n-s---mn- καί@c-------- ὁ@l-s---na- βασίλειος@n-s---nd- 〉@x-------- ον@a-s---na- εἶδον@v-sapamn- ἄν@v1spia--- λαμβάνω@v-sappna- κτέομαι@v3spia--- ναί@v--ana--- λέγω3@v3spie--- 〈@v3spoe--- εται@v3spie--- κεραυνός@n-s---md-"
"fr._9","9@x-------- 7a@n-s---mv- k@n-------- καί@c-------- ὁ@l-p---fa- ἅρπυιαι@a-p---fa- ὁ@l-p---na- μή@n-p---na- λα@x-------- φ@x-------- υλάσσω@v--pna--- ἀκοή@n-s---mv- σύλ@n-s---mv- αος@x-------- ἐ.@n-------- δέ@d-------- καί@d-------- οὗτος@p-s---na- καί@d-------- ὁ@l-p---fa- αὐτός@p-p---fa- εἰμί@v--pna--- ὁ@l-p---fd- ἑσπερίς@n-p---fd-"
"fr._10","ὁ@l-s---na- δέ@d-------- μέγας@a-s---na- ἱλασμός@n-p---md- τις@a-p---md- καί@d-------- καθαρμός@n-p---md- καί@c-------- ἵδρυσις@n-p---fd- καταπυργίζω@v-sapamn- καί@c-------- καθοσιόω@v-sapamn- ὁ@l-s---fa- πόλις@n-s---fa- ὑπήκοος@a-s---fa- ὁ@l-s---ng- δίκαιος@a-s---ng- καί@c-------- μᾶλλον@d-------- εὐπειθής@a-s---fa- πρός@r-------- ὁμόνοια@n-s---fa- καθίστημι@v3saia--- λέγω3@v3spie--- δέ@d-------- ὁ@l-s---fa- μουνιχίη@n-s---fa- εἶδον@v-sapamn- καί@c-------- καταμανθάνω@v-sapamn- πολύς@a-s---ma- χρόνος@n-s---ma- εἶπον@v--ana--- πρός@r-------- ὁ@l-p---ma- πάρειμι1@v-pppama- ὡς@c-------- τυφλός@a-s---nn- εἰμί@v3spia--- ὁ@l-s---mg- μέλλω@v-sppamg- ἄνθρωπος@n-s---fn- ἐκφαγεῖν@v--ana--- γάρ@d-------- ἄν@d-------- ἀθήναιος@n-p---ma- ὁ@l-p---md- ἑαυτοῦ@p-p---mg- ὀδούς@n-p---md- εἰ@c-------- πρόοιδα@v3paia--- ὅσος@p-p---na- ὁ@l-s---fa- πόλις@n-s---fa- ἀνιάζω@v3sfia--- ὁ@l-s---nn- χωρίον@n-s---nn-"
